"s_no","ViT-B/32","ViT-B/32(ft.)","ResNet-50","ResNet-50(ft.)","AlexNet","VGG-16","GoogleNet"
1,0.158499008062133,0.179151431953079,0.0766257162404019,0.033481942257423,0.07384437277764,0.0419712576043916,0.147517818922345
2,0.167209685853345,0.20226613495734,0.0799602750023319,0.0291339930579585,0.106608843424813,0.0501210455778371,0.140914197859381
3,0.0985054088146477,0.108955828055298,0.0456525476671563,0.0169986350966438,0.0600590205063699,0.0326283968039369,0.0919023735386796
4,0.230583931837445,0.259934328330868,0.128960984001888,0.0616313660919272,0.155132628992839,0.0706679574056147,0.201431063801595
5,0.0877272899821584,0.105763481274482,0.0375566671218581,0.0179670442082528,0.0646038519906705,0.0259687411492397,0.0939876755676456
6,0.114565521529613,0.130996340514315,0.0422766833673618,0.0325488510130778,0.0530021458926492,0.0265355403564154,0.0911990280203508
7,0.152607855763039,0.165250492828496,0.0827891176384457,0.0365661631772322,0.0812179751457683,0.0573233904479991,0.126538340170401
8,0.136852977396417,0.163815847608468,0.0777087185347701,0.0280724223420277,0.0942708728704196,0.0480807122655163,0.122673977716852
9,0.0730235365117682,0.0750696288619729,0.0257465978664813,0.0107961495506036,0.0393624468256959,0.0176959191043698,0.0614525139664805
10,0.145827479629109,0.16821791876386,0.0826916028279299,0.0343770766230795,0.076355447647061,0.0531772776720634,0.122735943676375
