"s_no","ViT-B/32","ViT-B/32(ft.)","ResNet-50","ResNet-50(ft.)","AlexNet","VGG-16","GoogleNet"
1,0.319371727748691,0.343163538873995,0.432717678100264,0.102079395085066,0.295612009237875,0.320388349514563,0.345549738219895
2,0.4496,0.404048582995951,0.460240963855422,0.101003344481605,0.376779026217229,0.372307692307692,0.5008
3,0.345549738219895,0.343163538873995,0.353562005277045,0.120982986767486,0.226327944572748,0.223300970873786,0.345549738219895
4,0.426336375488918,0.427048634243837,0.461588969139856,0.141341051616015,0.337594421847763,0.318734793187348,0.40026075619296
5,0.361771409964181,0.361383668717778,0.422856205935399,0.146563219784216,0.301615015277172,0.281801582471089,0.41387170302833
6,0.327296248382924,0.354838709677419,0.440468445022772,0.124308002013085,0.423190111830489,0.388753056234719,0.430789133247089
7,0.401431359791802,0.428761208900697,0.489027186374058,0.112844260297343,0.358787525502769,0.342265529841656,0.427456083279115
8,0.387364390555201,0.419542083198968,0.449247518411784,0.0743261638987203,0.433905450165613,0.408138101109741,0.310784939374601
9,0.389015274618135,0.416348864201625,0.476525437592017,0.117971334068357,0.369435118960736,0.35405240706886,0.467013324666883
10,0.261213720316623,0.280868385345997,0.29427430093209,0.0644868301544051,0.213226909920182,0.202898550724638,0.261213720316623
