Augmentation,Shape Bias,Shape Match,Texture Match,ImageNet Accuracy
Baseline,54.19630156472262%,29.765625%,25.156250000000004%,81.28422498703003%
+Rotate,47.51677852348993%,27.65625%,30.546875%,80.89762926101685%
+Cutout,50.267379679144376%,29.375%,29.062500000000004%,82.65745639801025%
+Sobel Filtering,51.657458563535904%,29.21875%,27.34375%,77.43234038352966%
+Gaussian Blur,51.066499372647435%,31.796875000000004%,30.46875%,83.45078825950623%
+Color Distortion,52.36220472440946%,31.171875%,28.359374999999996%,83.83134603500366%
+Gaussain Noise,55.63186813186813%,31.640625%,25.234374999999996%,83.06418657302856%
