"s_no","ViT-B/32","ViT-B/32(ft.)","ResNet-50","ResNet-50(ft.)","AlexNet","VGG-16","GoogleNet"
1,0.0971786833855799,0.118662065303955,0.037199124726477,-0.00215627887873499,0.0942328104729332,0.047103410936654,0.0678357175819105
2,0.0478527607361964,0.0600522193211489,0.0210325047801148,-0.00494559841740851,0.0539609644087256,0.0366492146596859,0.0493273542600897
3,0.0419753086419753,0.055613850996852,0.0100541376643465,0.0163934426229508,0.0467376214715409,0.0274841437632135,0.0415913200723328
4,0.135691318327974,0.144790257104195,0.0573514077163712,0.0381105743424584,0.143031040779063,0.0805633802816901,0.13126491646778
5,0.10440251572327,0.127195316657797,0.0396158463385354,0.00061945075366507,0.100165758939143,0.0511425462459194,0.0917516218721037
6,0.0617283950617284,0.055613850996852,0.0255220417633411,-0.015593762495002,0.0652475705691809,0.0443974630021141,0.0415913200723328
7,0.111111111111111,0.123287671232877,0.0537634408602151,0.03646408839779,0.15527950310559,0.0473988439306359,0.121951219512195
8,0.00790273556231001,0.0147783251231526,0.0144818506676698,-0.0127568409776999,0.0373481666477466,0.00877645844088795,0.0341160832964111
9,0.054014598540146,0.0719809637120761,0.0757657173562601,0.0753331520261081,0.210752073205605,0.0346740638002773,0.137343927355278
10,0.0885448916408669,0.0849329476728899,0.0278047832004666,0.00311526479750781,0.070955754267797,0.0483271375464684,0.064911484339537
